,Links,Judul,Deskripsi,Harga,Rating,Review
0,,,,,,
1,https://www.airbnb.com/rooms/39980077?previous_page_section_name=1000&translate_ugc=false&federated_search_id=ace1340a-9fc9-479d-9ad8-8871e6d398fe,Perfect View and Cozy Kamala Lagoon 💫@SwadeeH2stay,3 guests · 1 bedroom · 1 bed · 1.5 baths,$17,4.96, (28 reviews)
2,https://www.airbnb.com/rooms/43599357?previous_page_section_name=1000&translate_ugc=false&federated_search_id=ace1340a-9fc9-479d-9ad8-8871e6d398fe,⭐ Cozy Studio ~ Amazing View from the 45th floor⭐,2 guests · Studio · 1 bed · 1 bath,$15,5.0, (35 reviews)
3,https://www.airbnb.com/rooms/49029976?previous_page_section_name=1000&translate_ugc=false&federated_search_id=ace1340a-9fc9-479d-9ad8-8871e6d398fe,Cozy Aesthetic Room @ Grand Kamala Lagoon Bekasi,2 guests · 1 bedroom · 1 bed · 1 bath,$22,4.90, (10 reviews)
4,https://www.airbnb.com/rooms/48595236?previous_page_section_name=1000&translate_ugc=false&federated_search_id=ace1340a-9fc9-479d-9ad8-8871e6d398fe,Modern Scandinavian Studio - NETFLIX-YOUTUBE READY,3 guests · 1 bedroom · 1 bed · 1 bath,$26,4.88, (8 reviews)
5,https://www.airbnb.com/rooms/34670401?previous_page_section_name=1000&translate_ugc=false&federated_search_id=ace1340a-9fc9-479d-9ad8-8871e6d398fe,Grand Kamala Lagoon New Furnished Apartment Bekasi,2 guests · 1 bedroom · 1 bed · 1 bath,$16,4.75, (4 reviews)
6,https://www.airbnb.com/rooms/37871560?previous_page_section_name=1000&translate_ugc=false&federated_search_id=ace1340a-9fc9-479d-9ad8-8871e6d398fe,"Lalagoon studio, warm & cozy place  above mall",2 guests · 1 bedroom · 2 beds · 1 bath,$25,4.93, (14 reviews)
7,https://www.airbnb.com/rooms/45445907?previous_page_section_name=1000&translate_ugc=false&federated_search_id=ace1340a-9fc9-479d-9ad8-8871e6d398fe,Casa de Amor,2 guests · Studio · 1 bed · 1 bath,$21,4.83, (6 reviews)
8,https://www.airbnb.com/rooms/44309236?previous_page_section_name=1000&translate_ugc=false&federated_search_id=ace1340a-9fc9-479d-9ad8-8871e6d398fe,KITA PRO Grand Kamala Lagoon,2 guests · Studio · 1 bed · 1.5 baths,$16,3.67, (6 reviews)
9,https://www.airbnb.com/rooms/31520095?previous_page_section_name=1000&translate_ugc=false&federated_search_id=ace1340a-9fc9-479d-9ad8-8871e6d398fe,Studio Room Apt Grand Kamala Lagoon free WiFi,2 guests · 1 bedroom · 1 bed · 1.5 baths,$19,4.87, (52 reviews)
10,https://www.airbnb.com/rooms/45265735?previous_page_section_name=1000&translate_ugc=false&federated_search_id=ace1340a-9fc9-479d-9ad8-8871e6d398fe,Cozy 2BR city view Apartment Kamala Lagoon by OW,4 guests · 2 bedrooms · 2 beds · 1 bath,$36,5.0, (25 reviews)
11,https://www.airbnb.com/rooms/42300048?previous_page_section_name=1000&translate_ugc=false&federated_search_id=ace1340a-9fc9-479d-9ad8-8871e6d398fe,Creative New Studio (1BR) @Grand Kamala Lagoon,2 guests · Studio · 1 bed · 1 bath,$16,5.0, (6 reviews)
12,https://www.airbnb.com/rooms/45198649?previous_page_section_name=1000&translate_ugc=false&federated_search_id=ace1340a-9fc9-479d-9ad8-8871e6d398fe,2B1B Apartment in Grand Kamala Lagoon,4 guests · 2 bedrooms · 2 beds · 1 bath,$28,5.0, (16 reviews)
13,https://www.airbnb.com/rooms/45265735?previous_page_section_name=1000&translate_ugc=false&federated_search_id=7edf573a-4952-4969-80ba-3ba0d9eab80c,Cozy 2BR city view Apartment Kamala Lagoon by OW,4 guests · 2 bedrooms · 2 beds · 1 bath,$36,5.0, (25 reviews)
14,https://www.airbnb.com/rooms/43213569?previous_page_section_name=1000&translate_ugc=false&federated_search_id=7edf573a-4952-4969-80ba-3ba0d9eab80c,🌇 Simple and cozy studio for your Staycation,2 guests · Studio · 1 bed · 1 bath,$15,5.0, (42 reviews)
15,https://www.airbnb.com/rooms/42300048?previous_page_section_name=1000&translate_ugc=false&federated_search_id=7edf573a-4952-4969-80ba-3ba0d9eab80c,Creative New Studio (1BR) @Grand Kamala Lagoon,2 guests · Studio · 1 bed · 1 bath,$16,5.0, (6 reviews)
16,https://www.airbnb.com/rooms/42087336?previous_page_section_name=1000&translate_ugc=false&federated_search_id=7edf573a-4952-4969-80ba-3ba0d9eab80c,Smoel's Studio @ Grand Kamala Lagoon Apartment,2 guests · Studio · 1 bed · 1 bath,$18,5.0, (8 reviews)
17,https://www.airbnb.com/rooms/32879802?previous_page_section_name=1000&translate_ugc=false&federated_search_id=7edf573a-4952-4969-80ba-3ba0d9eab80c,Sudut nyaman grand kamala lagoon,3 guests · 1 bedroom · 1 bed · 1 bath,$26,4.85, (34 reviews)
18,https://www.airbnb.com/rooms/40190832?previous_page_section_name=1000&translate_ugc=false&federated_search_id=7edf573a-4952-4969-80ba-3ba0d9eab80c,Comfy 2BR Brand New Apart Grand Kamala Lagoon,4 guests · 2 bedrooms · 2 beds · 1 bath,$49,4.91, (22 reviews)
19,https://www.airbnb.com/rooms/41573809?previous_page_section_name=1000&translate_ugc=false&federated_search_id=7edf573a-4952-4969-80ba-3ba0d9eab80c,Studio Room Grand Kamala Lagoon by Mich,4 guests · Studio · 1 bed · 1 bath,$20,5.0, (7 reviews)
20,https://www.airbnb.com/rooms/31126377?previous_page_section_name=1000&translate_ugc=false&federated_search_id=7edf573a-4952-4969-80ba-3ba0d9eab80c,New Studio Apartemen @ Summarecon Bekasi,3 guests · 1 bedroom · 2 beds · 1 bath,$18,4.82, (17 reviews)
21,https://www.airbnb.com/rooms/37478764?previous_page_section_name=1000&translate_ugc=false&federated_search_id=7edf573a-4952-4969-80ba-3ba0d9eab80c,Cozy 2BR free wifi @Springlake,4 guests · 2 bedrooms · 2 beds · 1 bath,$23,4.83, (6 reviews)
22,https://www.airbnb.com/rooms/30804668?previous_page_section_name=1000&translate_ugc=false&federated_search_id=7edf573a-4952-4969-80ba-3ba0d9eab80c,Springlake Summarecon Bekasi Syariah Green Studio,2 guests · 1 bedroom · 0 beds · 1.5 baths,$16,5.0, (3 reviews)
