,Links,Judul,Deskripsi,Harga,Rating,Review
0,,,,,,
1,https://www.airbnb.com/rooms/23455316?previous_page_section_name=1000&translate_ugc=false&federated_search_id=82368a3c-c4a3-4a39-9ad7-6dea70c011f9,Sentul City Room with Swimming Pool,2 guests · 1 bedroom · 1 bed · 1 shared bath,$14,4.89, (9 reviews)
2,https://www.airbnb.com/rooms/32371526?previous_page_section_name=1000&translate_ugc=false&federated_search_id=82368a3c-c4a3-4a39-9ad7-6dea70c011f9,Villa Memory - Modern white open kitchen,15 guests · 3 bedrooms · 4 beds · 2 baths,$128,4.62, (99 reviews)
3,https://www.airbnb.com/rooms/46207767?previous_page_section_name=1000&translate_ugc=false&federated_search_id=82368a3c-c4a3-4a39-9ad7-6dea70c011f9,Villa Jeje - A private little fantasy in PUNCAK,15 guests · 4 bedrooms · 5 beds · 4 baths,$129,4.86, (7 reviews)
4,https://www.airbnb.com/rooms/45282051?previous_page_section_name=1000&translate_ugc=false&federated_search_id=82368a3c-c4a3-4a39-9ad7-6dea70c011f9,Spacious 1BR Full Equiped Gunung Putri Cimanggis,4 guests · Studio · 1 bed · 1 bath,$13,5.0, (7 reviews)
5,https://www.airbnb.com/rooms/35730311?previous_page_section_name=1000&translate_ugc=false&federated_search_id=82368a3c-c4a3-4a39-9ad7-6dea70c011f9,Petite Modern Minimalist Studio @ Cinere Resort,2 guests · 1 bedroom · 1 bed · 1 bath,$12,5.0, (3 reviews)
6,https://www.airbnb.com/rooms/29474973?previous_page_section_name=1000&translate_ugc=false&federated_search_id=82368a3c-c4a3-4a39-9ad7-6dea70c011f9,*** ARDYNA Family Villa | BOGOR *** 3BR w/Pool,8 guests · 3 bedrooms · 5 beds · 3 baths,$98,4.95, (124 reviews)
7,https://www.airbnb.com/rooms/46387184?previous_page_section_name=1000&translate_ugc=false&federated_search_id=82368a3c-c4a3-4a39-9ad7-6dea70c011f9,Villa Andante - make slow your day in PUNCAK,16 guests · 5 bedrooms · 6 beds · 4 baths,$166,4.71, (7 reviews)
8,https://www.airbnb.com/rooms/11488940?previous_page_section_name=1000&translate_ugc=false&federated_search_id=82368a3c-c4a3-4a39-9ad7-6dea70c011f9,Rumah Keluarga,6 guests · 3 bedrooms · 3 beds · 3 baths,$53,5.0, (3 reviews)
9,https://www.airbnb.com/rooms/34953192?previous_page_section_name=1000&translate_ugc=false&federated_search_id=82368a3c-c4a3-4a39-9ad7-6dea70c011f9,Villa Art hill - A little Bali in PUNCAK,15 guests · 3 bedrooms · 5 beds · 3 baths,$135,4.86, (78 reviews)
10,https://www.airbnb.com/rooms/46387184?previous_page_section_name=1000&translate_ugc=false&federated_search_id=5f587267-6390-47c6-918f-82a1415573fc,Villa Andante - make slow your day in PUNCAK,16 guests · 5 bedrooms · 6 beds · 4 baths,$166,4.71, (7 reviews)
11,https://www.airbnb.com/rooms/39656470?previous_page_section_name=1000&translate_ugc=false&federated_search_id=5f587267-6390-47c6-918f-82a1415573fc,Cozy Villa At Vimala Hills Puncak Bogor,6 guests · 2 bedrooms · 3 beds · 3 baths,$100,4.89, (19 reviews)
12,https://www.airbnb.com/rooms/19897765?previous_page_section_name=1000&translate_ugc=false&federated_search_id=5f587267-6390-47c6-918f-82a1415573fc,The Round Villa (Bogor),10 guests · 3 bedrooms · 3 beds · 4 baths,$133,4.67, (150 reviews)
13,https://www.airbnb.com/rooms/46045786?previous_page_section_name=1000&translate_ugc=false&federated_search_id=5f587267-6390-47c6-918f-82a1415573fc,Vimala Hills Cantik Kinabalu Megamendung Puncak,10 guests · 2 bedrooms · 3 beds · 2 baths,$99,4.63, (19 reviews)
14,https://www.airbnb.com/rooms/32180901?previous_page_section_name=1000&translate_ugc=false&federated_search_id=5f587267-6390-47c6-918f-82a1415573fc,The V - 3 Bedrooms Private Pool and Karaoke Villa,8 guests · 3 bedrooms · 4 beds · 2.5 baths,$88,4.57, (7 reviews)
15,https://www.airbnb.com/rooms/45282051?previous_page_section_name=1000&translate_ugc=false&federated_search_id=5f587267-6390-47c6-918f-82a1415573fc,Spacious 1BR Full Equiped Gunung Putri Cimanggis,4 guests · Studio · 1 bed · 1 bath,$13,5.0, (7 reviews)
16,https://www.airbnb.com/rooms/46207767?previous_page_section_name=1000&translate_ugc=false&federated_search_id=5f587267-6390-47c6-918f-82a1415573fc,Villa Jeje - A private little fantasy in PUNCAK,15 guests · 4 bedrooms · 5 beds · 4 baths,$129,4.86, (7 reviews)
17,https://www.airbnb.com/rooms/47244556?previous_page_section_name=1000&translate_ugc=false&federated_search_id=5f587267-6390-47c6-918f-82a1415573fc,"The Olive, Modern-Garden Villa 70min from Jakarta",14 guests · 4 bedrooms · 4 beds · 5 baths,$117,4.80, (25 reviews)
18,https://www.airbnb.com/rooms/44639291?previous_page_section_name=1000&translate_ugc=false&federated_search_id=5f587267-6390-47c6-918f-82a1415573fc,The Titanium Villa near R hotel Rancamaya,8 guests · 3 bedrooms · 2.5 baths,$246,4.83, (6 reviews)
