,Links,Judul,Deskripsi,Harga,Rating,Review
0,,,,,,
1,https://www.airbnb.com/rooms/48033539?previous_page_section_name=1000&translate_ugc=false&federated_search_id=22cc53ac-96d7-431e-81a0-4c716dfb220d,MARGONDA - MALL - UNIVERSITY OF INDONESIA,4 guests · 1 bedroom · 2 beds · 1 bath,$18,5.0, (5 reviews)
2,https://www.airbnb.com/rooms/35730311?previous_page_section_name=1000&translate_ugc=false&federated_search_id=22cc53ac-96d7-431e-81a0-4c716dfb220d,Petite Modern Minimalist Studio @ Cinere Resort,2 guests · 1 bedroom · 1 bed · 1 bath,$12,5.0, (3 reviews)
3,https://www.airbnb.com/rooms/42752657?previous_page_section_name=1000&translate_ugc=false&federated_search_id=22cc53ac-96d7-431e-81a0-4c716dfb220d,Gratis Taman Melati Margonda Apartment (Studio),2 guests · 1 bedroom · 1 bed · 1 private bath,$25,4.92, (12 reviews)
4,https://www.airbnb.com/rooms/39554123?previous_page_section_name=1000&translate_ugc=false&federated_search_id=22cc53ac-96d7-431e-81a0-4c716dfb220d,Apartemen Depok Salladin Mansion By CS Property,2 guests · 1 bedroom · 1 bed · 1.5 baths,$13,4.33, (3 reviews)
5,https://www.airbnb.com/rooms/44226937?previous_page_section_name=1000&translate_ugc=false&federated_search_id=22cc53ac-96d7-431e-81a0-4c716dfb220d,Designed for productivity at Taman Melati (Depok),1 guest · 1 bedroom · 1 bed · 1 bath,$11,5.0, (6 reviews)
6,https://www.airbnb.com/rooms/45282051?previous_page_section_name=1000&translate_ugc=false&federated_search_id=22cc53ac-96d7-431e-81a0-4c716dfb220d,Spacious 1BR Full Equiped Gunung Putri Cimanggis,4 guests · Studio · 1 bed · 1 bath,$13,5.0, (7 reviews)
7,https://www.airbnb.com/rooms/44451619?previous_page_section_name=1000&translate_ugc=false&federated_search_id=22cc53ac-96d7-431e-81a0-4c716dfb220d,"Margonda Residence 3, one stop living @Depok",4 guests · 1 bedroom · 2 beds · 1 bath,$18,4.52, (23 reviews)
8,https://www.airbnb.com/rooms/44451619?previous_page_section_name=1000&translate_ugc=false&federated_search_id=42bf6bc5-4a97-4060-83aa-8c739850d909,"Margonda Residence 3, one stop living @Depok",4 guests · 1 bedroom · 2 beds · 1 bath,$18,4.52, (23 reviews)
9,https://www.airbnb.com/rooms/30113285?previous_page_section_name=1000&translate_ugc=false&federated_search_id=42bf6bc5-4a97-4060-83aa-8c739850d909,NEW-Affordable Studio Margonda Residence-FREE WIFI,2 guests · 1 bedroom · 1 bed · 1.5 baths,$16,5.0, (8 reviews)
10,https://www.airbnb.com/rooms/18706105?previous_page_section_name=1000&translate_ugc=false&federated_search_id=42bf6bc5-4a97-4060-83aa-8c739850d909,GWK Margonda Residence 3 Apartment,2 guests · Studio · 1 bed · 1 bath,$20,4.67, (12 reviews)
11,https://www.airbnb.com/rooms/42657996?previous_page_section_name=1000&translate_ugc=false&federated_search_id=42bf6bc5-4a97-4060-83aa-8c739850d909,"White Lili's House, rumah penuh kenangan...",8 guests · 4 bedrooms · 5 beds · 3 baths,$70,5.0, (14 reviews)
12,https://www.airbnb.com/rooms/35730311?previous_page_section_name=1000&translate_ugc=false&federated_search_id=42bf6bc5-4a97-4060-83aa-8c739850d909,Petite Modern Minimalist Studio @ Cinere Resort,2 guests · 1 bedroom · 1 bed · 1 bath,$12,5.0, (3 reviews)
13,https://www.airbnb.com/rooms/23009696?previous_page_section_name=1000&translate_ugc=false&federated_search_id=42bf6bc5-4a97-4060-83aa-8c739850d909,"""Rumah Satoe""",6 guests · 4 bedrooms · 4 beds · 3 baths,$67,4.86, (7 reviews)
14,https://www.airbnb.com/rooms/36453736?previous_page_section_name=1000&translate_ugc=false&federated_search_id=42bf6bc5-4a97-4060-83aa-8c739850d909,Cozy Home Stay near UI for family and backpacker,7 guests · 3 bedrooms · 5 beds · 2 baths,$44,4.95, (19 reviews)
15,https://www.airbnb.com/rooms/35986186?previous_page_section_name=1000&translate_ugc=false&federated_search_id=42bf6bc5-4a97-4060-83aa-8c739850d909,Saung Semilir,4 guests · Studio · 1 bed · 2 baths,$21,4.50, (4 reviews)
16,https://www.airbnb.com/rooms/22910751?previous_page_section_name=1000&translate_ugc=false&federated_search_id=42bf6bc5-4a97-4060-83aa-8c739850d909,Lovely House near BSD Serpong and Parung Bogor,10 guests · 4 bedrooms · 6 beds · 3 baths,$168,4.98, (43 reviews)
17,https://www.airbnb.com/rooms/17473069?previous_page_section_name=1000&translate_ugc=false&federated_search_id=7ef13f9c-b5ca-46c3-847a-a6cfbf2dbd88,WFH Fantastic Premium condo + Fast Wifi & cabletv,4 guests · 1 bedroom · 4 beds · 1 bath,$11,4.93, (28 reviews)
18,https://www.airbnb.com/rooms/38935346?previous_page_section_name=1000&translate_ugc=false&federated_search_id=7ef13f9c-b5ca-46c3-847a-a6cfbf2dbd88,"Saladin Apartemen Suite, Margonda Depok",2 guests · Studio · 1 bed · 1 bath,$18,4.64, (11 reviews)
19,https://www.airbnb.com/rooms/11106308?previous_page_section_name=1000&translate_ugc=false&federated_search_id=7ef13f9c-b5ca-46c3-847a-a6cfbf2dbd88,Rooms for Rent (Depok),2 guests · 1 bedroom · 2 beds · 1 bath,$12,4.86, (7 reviews)
20,https://www.airbnb.com/rooms/46857937?previous_page_section_name=1000&translate_ugc=false&federated_search_id=7ef13f9c-b5ca-46c3-847a-a6cfbf2dbd88,Charming new apartment 2BR with balcony,3 guests · 2 bedrooms · 3 beds · 1 bath,$22,5.0, (3 reviews)
21,https://www.airbnb.com/rooms/36213363?previous_page_section_name=1000&translate_ugc=false&federated_search_id=7ef13f9c-b5ca-46c3-847a-a6cfbf2dbd88,Luxury Low Price Atlanta Apartment Margonda Depok,2 guests · 1 bedroom · 1 bed · 1 bath,$24,4.50, (10 reviews)
22,https://www.airbnb.com/rooms/21589477?previous_page_section_name=1000&translate_ugc=false&federated_search_id=7ef13f9c-b5ca-46c3-847a-a6cfbf2dbd88,"Apt Margonda Residence 2,  Syariah 8 UI Depok City",2 guests · 1 bedroom · 1 bed · 1 bath,$10,4.86, (21 reviews)
23,https://www.airbnb.com/rooms/32582475?previous_page_section_name=1000&translate_ugc=false&federated_search_id=325775e8-59f9-4727-aca9-b86ea67f9155,Cozy apartment in the heart of BSD City,2 guests · Studio · 1 bed · 1 bath,$13,4.76, (21 reviews)
24,https://www.airbnb.com/rooms/43693740?previous_page_section_name=1000&translate_ugc=false&federated_search_id=325775e8-59f9-4727-aca9-b86ea67f9155,Full Furnished and cozy 2 bed room apartment,3 guests · 2 bedrooms · 2 beds · 1 bath,$20,5.0, (6 reviews)
25,https://www.airbnb.com/rooms/44643208?previous_page_section_name=1000&translate_ugc=false&federated_search_id=325775e8-59f9-4727-aca9-b86ea67f9155,Green Lake View Apartment,1 guest · 1 bedroom · 0 beds · 1.5 baths,$10,4.33, (3 reviews)
26,https://www.airbnb.com/rooms/36959065?previous_page_section_name=1000&translate_ugc=false&federated_search_id=325775e8-59f9-4727-aca9-b86ea67f9155,Cibel Cribz - Cozy Studio Apartment in Cinere,2 guests · 1 bedroom · 1 bed · 1.5 baths,$13,4.76, (17 reviews)
27,https://www.airbnb.com/rooms/36197980?previous_page_section_name=1000&translate_ugc=false&federated_search_id=325775e8-59f9-4727-aca9-b86ea67f9155,Cozy Apartment closed to UI,2 guests · Studio · 1 bed · 1 bath,$19,4.67, (3 reviews)
28,https://www.airbnb.com/rooms/34690926?previous_page_section_name=1000&translate_ugc=false&federated_search_id=325775e8-59f9-4727-aca9-b86ea67f9155,Nice apartment at Cinere - Indonesia,2 guests · Studio · 1 bed · 1 bath,$18,5.0, (3 reviews)
29,https://www.airbnb.com/rooms/16410301?previous_page_section_name=1000&translate_ugc=false&federated_search_id=325775e8-59f9-4727-aca9-b86ea67f9155,"Guest Room near Taman Mini Indonesia Indah,Jakarta",2 guests · 1 bedroom · 1 bed · 1 private bath,$17,5.0, (4 reviews)
30,https://www.airbnb.com/rooms/43693740?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4a98c034-0de5-4dd5-91d3-96d6b92c105d,Full Furnished and cozy 2 bed room apartment,3 guests · 2 bedrooms · 2 beds · 1 bath,$20,5.0, (6 reviews)
31,https://www.airbnb.com/rooms/44643208?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4a98c034-0de5-4dd5-91d3-96d6b92c105d,Green Lake View Apartment,1 guest · 1 bedroom · 0 beds · 1.5 baths,$10,4.33, (3 reviews)
32,https://www.airbnb.com/rooms/34690926?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4a98c034-0de5-4dd5-91d3-96d6b92c105d,Nice apartment at Cinere - Indonesia,2 guests · Studio · 1 bed · 1 bath,$18,5.0, (3 reviews)
33,https://www.airbnb.com/rooms/37024381?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4a98c034-0de5-4dd5-91d3-96d6b92c105d,"Cozy House, 4 bedrooms, near margonda, Depok.",12 guests · 4 bedrooms · 4 beds · 2.5 baths,$67,4.83, (23 reviews)
34,https://www.airbnb.com/rooms/16410301?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4a98c034-0de5-4dd5-91d3-96d6b92c105d,"Guest Room near Taman Mini Indonesia Indah,Jakarta",2 guests · 1 bedroom · 1 bed · 1 private bath,$17,5.0, (4 reviews)
35,https://www.airbnb.com/rooms/38935346?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4a98c034-0de5-4dd5-91d3-96d6b92c105d,"Saladin Apartemen Suite, Margonda Depok",2 guests · Studio · 1 bed · 1 bath,$18,4.64, (11 reviews)
36,https://www.airbnb.com/rooms/15845496?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4a98c034-0de5-4dd5-91d3-96d6b92c105d,Cozy place near UI,2 guests · 1 bedroom · 1 bed · 1 bath,$25,5.0, (3 reviews)
37,https://www.airbnb.com/rooms/18706105?previous_page_section_name=1000&translate_ugc=false&federated_search_id=4a98c034-0de5-4dd5-91d3-96d6b92c105d,GWK Margonda Residence 3 Apartment,2 guests · Studio · 1 bed · 1 bath,$20,4.67, (12 reviews)
38,https://www.airbnb.com/rooms/11106308?previous_page_section_name=1000&translate_ugc=false&federated_search_id=f7f8c94c-b9dd-45ec-9d8c-f48a6c91be07,Rooms for Rent (Depok),2 guests · 1 bedroom · 2 beds · 1 bath,$12,4.86, (7 reviews)
39,https://www.airbnb.com/rooms/36197290?previous_page_section_name=1000&translate_ugc=false&federated_search_id=f7f8c94c-b9dd-45ec-9d8c-f48a6c91be07,"newly furnished apartment, 5 minutes walk from UI",3 guests · Studio · 2 beds · 1 bath,$14,4.83, (12 reviews)
40,https://www.airbnb.com/rooms/44185979?previous_page_section_name=1000&translate_ugc=false&federated_search_id=f7f8c94c-b9dd-45ec-9d8c-f48a6c91be07,Full furnished and Cozy 2 bedroom Apartment - PGV,3 guests · 2 bedrooms · 2 beds · 1 bath,$20,5.0, (3 reviews)
41,https://www.airbnb.com/rooms/45263298?previous_page_section_name=1000&translate_ugc=false&federated_search_id=f7f8c94c-b9dd-45ec-9d8c-f48a6c91be07,STUDIO @ Havenwood TB Simatupang,2 guests · Studio · 1 bed · 1 bath,$30,4.71, (7 reviews)
42,https://www.airbnb.com/rooms/26788967?previous_page_section_name=1000&translate_ugc=false&federated_search_id=f7f8c94c-b9dd-45ec-9d8c-f48a6c91be07,Apartemen Grand Taman Melati,2 guests · Studio · 1 bed · 1 bath,$18,4.73, (37 reviews)
43,https://www.airbnb.com/rooms/17473069?previous_page_section_name=1000&translate_ugc=false&federated_search_id=f7f8c94c-b9dd-45ec-9d8c-f48a6c91be07,WFH Fantastic Premium condo + Fast Wifi & cabletv,4 guests · 1 bedroom · 4 beds · 1 bath,$11,4.93, (28 reviews)
44,https://www.airbnb.com/rooms/15362844?previous_page_section_name=1000&translate_ugc=false&federated_search_id=f7f8c94c-b9dd-45ec-9d8c-f48a6c91be07,Cozy and Modern Apartment with Golf View,4 guests · 2 bedrooms · 3 beds · 1 bath,$42,4.80, (50 reviews)
45,https://www.airbnb.com/rooms/41160228?previous_page_section_name=1000&translate_ugc=false&federated_search_id=62fe8908-ae2e-4f69-8cfb-913d15b36fce,Smart and Safe Apartment in Kebagusan City Royal,2 guests · Studio · 1 bed · 1 bath,$16,5.0, (18 reviews)
46,https://www.airbnb.com/rooms/38153423?previous_page_section_name=1000&translate_ugc=false&federated_search_id=62fe8908-ae2e-4f69-8cfb-913d15b36fce,A COZY APARTMENT in THE HEART OF DEPOK CITY!!,1 guest · Studio · 1 bed · 1 bath,$16,5.0, (4 reviews)
47,https://www.airbnb.com/rooms/36894403?previous_page_section_name=1000&translate_ugc=false&federated_search_id=62fe8908-ae2e-4f69-8cfb-913d15b36fce,TentremRogo Living Space,2 guests · Studio · 1 bed · 1 private bath,$42,4.89, (9 reviews)
48,https://www.airbnb.com/rooms/41390005?previous_page_section_name=1000&translate_ugc=false&federated_search_id=090cdda5-ea0a-44e4-8293-2011875c2ac8,Casa De Parco - cassea tower Aeon ICE wifi netflix,2 guests · Studio · 1 bed · 1 bath,$21,4.89, (18 reviews)
49,https://www.airbnb.com/rooms/20663626?previous_page_section_name=1000&translate_ugc=false&federated_search_id=090cdda5-ea0a-44e4-8293-2011875c2ac8,A Cozy Scandinavian Apartment Style,4 guests · 1 bedroom · 2 beds · 1 bath,$28,4.86, (124 reviews)
50,https://www.airbnb.com/rooms/41160228?previous_page_section_name=1000&translate_ugc=false&federated_search_id=090cdda5-ea0a-44e4-8293-2011875c2ac8,Smart and Safe Apartment in Kebagusan City Royal,2 guests · Studio · 1 bed · 1 bath,$16,5.0, (18 reviews)
51,https://www.airbnb.com/rooms/38153423?previous_page_section_name=1000&translate_ugc=false&federated_search_id=090cdda5-ea0a-44e4-8293-2011875c2ac8,A COZY APARTMENT in THE HEART OF DEPOK CITY!!,1 guest · Studio · 1 bed · 1 bath,$16,5.0, (4 reviews)
52,https://www.airbnb.com/rooms/42326935?previous_page_section_name=1000&translate_ugc=false&federated_search_id=090cdda5-ea0a-44e4-8293-2011875c2ac8,Home Sweet Home & Office / Meeting Room,4 guests · 2 bedrooms · 3 beds · 3 baths,$45,4.92, (12 reviews)
53,https://www.airbnb.com/rooms/35975747?previous_page_section_name=1000&translate_ugc=false&federated_search_id=090cdda5-ea0a-44e4-8293-2011875c2ac8,Hunian privasi nyaman bersih dan aman,2 guests · Studio · 1 bed · 1 private bath,$15,4.33, (6 reviews)
54,https://www.airbnb.com/rooms/23009696?previous_page_section_name=1000&translate_ugc=false&federated_search_id=090cdda5-ea0a-44e4-8293-2011875c2ac8,"""Rumah Satoe""",6 guests · 4 bedrooms · 4 beds · 3 baths,$67,4.86, (7 reviews)
55,https://www.airbnb.com/rooms/33912869?previous_page_section_name=1000&translate_ugc=false&federated_search_id=090cdda5-ea0a-44e4-8293-2011875c2ac8,Luxury Mansion in beautiful quite area,10 guests · 4 bedrooms · 4 beds · 4 baths,$316,4.59, (29 reviews)
56,https://www.airbnb.com/rooms/46158523?previous_page_section_name=1000&translate_ugc=false&federated_search_id=090cdda5-ea0a-44e4-8293-2011875c2ac8,Cozy Home Stay 3 Near UI and Gunadarma,5 guests · 2 bedrooms · 3 beds · 1.5 baths,$32,5.0, (4 reviews)
57,https://www.airbnb.com/rooms/46266140?previous_page_section_name=1000&translate_ugc=false&federated_search_id=84c3d9ac-6b1b-4b9a-a330-1ec4ac6e1fac,Modern Minimalist Stay @ Tuju WK Homes Syariah,2 guests · 1 bedroom · 1 bed · 1 shared bath,$11,4.67, (3 reviews)
58,https://www.airbnb.com/rooms/42326935?previous_page_section_name=1000&translate_ugc=false&federated_search_id=84c3d9ac-6b1b-4b9a-a330-1ec4ac6e1fac,Home Sweet Home & Office / Meeting Room,4 guests · 2 bedrooms · 3 beds · 3 baths,$45,4.92, (12 reviews)
