,Links,Judul,Deskripsi,Harga,Rating,Review
0,,,,,,
1,https://www.airbnb.com/rooms/39615762?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ba182ba7-4de9-4e1d-9ddc-50fbd9cd5783,Kaiteki: BRANZ 3BR Apt. near ICE BSD and AEON mall,6 guests · 3 bedrooms · 3 beds · 2 baths,$56,4.99, (68 reviews)
2,https://www.airbnb.com/rooms/45625152?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ba182ba7-4de9-4e1d-9ddc-50fbd9cd5783,Me Time Cozy Apartment With Stunning View,2 guests · Studio · 1 bed · 1 bath,$11,5.0, (9 reviews)
3,https://www.airbnb.com/rooms/29746511?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ba182ba7-4de9-4e1d-9ddc-50fbd9cd5783,Apartemen casa de parco sangat nyaman -NETFLIX,3 guests · 1 bedroom · 1 bed · 1.5 baths,$16,4.83, (47 reviews)
4,https://www.airbnb.com/rooms/46543113?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ba182ba7-4de9-4e1d-9ddc-50fbd9cd5783,"Machiya Ryokan BSD: Marigold Apt, near ICE BSD",5 guests · 2 bedrooms · 2 beds · 2 baths,$71,4.82, (17 reviews)
5,https://www.airbnb.com/rooms/42326935?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ba182ba7-4de9-4e1d-9ddc-50fbd9cd5783,Home Sweet Home & Office / Meeting Room,4 guests · 2 bedrooms · 3 beds · 3 baths,$45,4.92, (12 reviews)
6,https://www.airbnb.com/rooms/41986707?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ba182ba7-4de9-4e1d-9ddc-50fbd9cd5783,Cozy Apartment with a Very Helpful Host,2 guests · 1 bedroom · 1 bed · 1 bath,$16,4.98, (44 reviews)
7,https://www.airbnb.com/rooms/42898846?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ba182ba7-4de9-4e1d-9ddc-50fbd9cd5783,Cozy apartment at Branz BSD area - CBD area,4 guests · 2 bedrooms · 2 beds · 1.5 baths,$60,5.0, (38 reviews)
8,https://www.airbnb.com/rooms/39625040?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ba182ba7-4de9-4e1d-9ddc-50fbd9cd5783,1BR at Roseville BSD (Near ICE BSD & AEON,3 guests · 1 bedroom · 0 beds · 1 bath,$21,5.0, (13 reviews)
9,https://www.airbnb.com/rooms/41014080?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ba182ba7-4de9-4e1d-9ddc-50fbd9cd5783,Cozy and Warm Shelter,4 guests · 1 bedroom · 2 beds · 1 bath,$30,5.0, (18 reviews)
10,https://www.airbnb.com/rooms/22619382?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ba182ba7-4de9-4e1d-9ddc-50fbd9cd5783,"TreePark Apartment, New cozy room, Great location",2 guests · 1 bedroom · 1 bed · 1 bath,$18,4.81, (146 reviews)
11,https://www.airbnb.com/rooms/23439691?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ba182ba7-4de9-4e1d-9ddc-50fbd9cd5783,"Green cozy house in BSD City, Near ICE. Free WiFi",4 guests · 3 bedrooms · 3 beds · 2 baths,$49,4.89, (95 reviews)
12,https://www.airbnb.com/rooms/44434346?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ba182ba7-4de9-4e1d-9ddc-50fbd9cd5783,A place you can call a second home (3BR + 2BTH),6 guests · 3 bedrooms · 3 beds · 2 baths,$56,5.0, (9 reviews)
13,https://www.airbnb.com/rooms/27536473?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ba182ba7-4de9-4e1d-9ddc-50fbd9cd5783,Casa De Parco Apartment - Gardenia Tower,2 guests · Studio · 1 bed · 1 bath,$13,5.0, (20 reviews)
14,https://www.airbnb.com/rooms/30681798?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ba182ba7-4de9-4e1d-9ddc-50fbd9cd5783,"Joey Apartment in CdP, Close to AEON and ICE BSD",3 guests · Studio · 1 bed · 1 bath,$24,5.0, (19 reviews)
